class1,class2,class3,faction,section,subsection,depth,rule
,,,,START,,1,Each player receives 4 random Traitor Cards and keeps 1 (either opponent or own leader).
,harkonnen-rule,,harkonnen,START,,1,"HARKONNEN keeps all 4. (Optional): Once and only once, HARKONNEN allowed to discard hand and redraw 4 other Traitor Cards."
,,,,START,,1,Each player receives Treachery Cards based on setup.
,,,,START,,1,"Set up spice, storm, and alliances as per game rules."
,,,,START,,1,Place troops as per faction rules.
,bene-advance-rule,,bene,START,,1,"**(Advanced)** Instead of starting in the Polar Sink, BENE GESSERIT place one peaceful advisor in any territory of your choice. If they are alone in the territory, flip the advisor to a fighter."
,,,,START,,1,Special faction setup rules may apply.
,,,,GAME TURN (MAX 10 TURNS),1. STORM,1,**(Round 1 only)**  Players to the left and right of the storm each use a battle wheel to dial a number from 0 to 20. The sum advances the storm for Round 1.
,no-fremen-rule,,,GAME TURN (MAX 10 TURNS),1. STORM,1,(Basic) last 2 players to use battle wheels dial a number from 1 to 3. The sum advances the storm.
,fremen-basic-rule,,fremen,GAME TURN (MAX 10 TURNS),1. STORM,1,(Basic) last 2 players to use battle wheels dial a number from 1 to 3. The sum advances the storm.
,fremen-advance-rule,,fremen,GAME TURN (MAX 10 TURNS),1. STORM,1,"**(Advanced)** FREMEN randomly pick a STORM card to be revealed next round. FREMEN can immediately see the card. The following round, IXIAN may move HMS then FREMEN advance the storm as indicated by card. Return card to deck then redo the process."
,,,,GAME TURN (MAX 10 TURNS),1. STORM,1,Forces &amp; Spice in desert touched by Storm go to Tleilaxu Tanks and Spice Bank.
,,,,GAME TURN (MAX 10 TURNS),2. SPICE BLOW,1,Reveal top card. (Round 1 only) Ignore worms and Nexus. Reshuﬄe worms in deck after phase over.
,,,,GAME TURN (MAX 10 TURNS),2. SPICE BLOW,2,"If Territory card, place Spice unless Storm in sector."
,,,,GAME TURN (MAX 10 TURNS),2. SPICE BLOW,2,"If Worm, Forces and Spice removed from previous territory, then draw until Territory card revealed. Then Nexus happens."
,fremen-rule,,fremen,GAME TURN (MAX 10 TURNS),2. SPICE BLOW,2,FREMEN are not devoured by Shai-Hulud. They may ride the sandworm to any location on the board following resolution of the Nexus. If an additional sandworm is drawn the Fremen may redirect it to any sand territory.
